Recipient or Vendor Name,Funding or Award Amount,Program or Contract Title,Recipient or Award City Name,Recipient or Award County,Recipient or Award State ,Recipient or Award Zip Code
PAVING PRODUCTS INC,"$258,573.00", REPAIR CHARLIE AND DELTA ROW APRONS,EIELSON AFB,FAIRBANKS NORTH STAR,AK,997021801
"A&AROOFINGCO.,INC.","$100,000.00",REPAIRROOFCIVILENGINEERINGSHOP(B2350),EIELSON AFB,FAIRBANKSNORTHSTAR,AK,997021801
"A & A ROOFING CO., INC.","$505,035.39", REPLACE 8 BAY ROOF PH 1/2 (B1338),EIELSON AFB,FAIRBANKS NORTH STAR,AK,997021801
CCI GROUP LIMITED LIABILITY COMPANY,"$152,760.18","25ID 1BCT COMPANY OPS BLDG 3450-REPAIR FINISHES, HVAC, ELECT",ANCHORAGE,ANCHORAGE,AK,995016206
TATITLEK CONTRACTORS INCORPORATED,"$323,738.00","25ID 1BCT ORG STORAGE BLDG 3492-REPAIR FINISHES, HVAC, ELECT",FORT WAINWRIGHT,FAIRBANKS NORTH STAR,AK,997030001
TATITLEK CONTRACTORS INCORPORATED,"$274,026.00","25ID 1BCT ORG STORAGE BLDG 3494-REPAIR FINISHES, HVAC, ELECT",FORT WAINWRIGHT,FAIRBANKS NORTH STAR,AK,997030001
TATITLEK CONTRACTORS INCORPORATED,"$114,995.00","25ID 1BCT ORG STORAGE BLDG 3496-REPAIR FINISHES, HVAC, ELECT",FORT WAINWRIGHT,FAIRBANKS NORTH STAR,AK,997030001
CCI GROUP LIMITED LIABILITY COMPANY,"$614,517.91","25ID 1BCT VEHICLE MAINTENANCE SHOP BLDG 3485-REPAIR FINISHES, HVAC, ELECT",ANCHORAGE,ANCHORAGE,AK,995016206
ENTERPRISE ENGINEERING INCORPORATED (5785),"$98,348.00",ALTERNATIVE TEST FUEL AND CERT PROTOCOL ACCELERATION,ANCHORAGE,ANCHORAGE,AK,995032838
CCI GROUP LIMITED LIABILITY COMPANY,"$1,219,290.00","BARRACKS BUILDING 1001-REPAIR BARRACKS INTERIOR FINISHES, WALL, DOORS, FLOORS, CEILINGS",ANCHORAGE,ANCHORAGE,AK,995016206
TROST CONSTRUCTION INCORPORATED,"$72,450.00","BARRACKS BUILDING 3206-REPAIR, REPAINT STAIRWAYS AND LANDINGS",FORT WAINWRIGHT,FAIRBANKS NORTH STAR,AK,997031233
State of Alaska,"$150,000.00",BETH AAOF INSULATE NORTH WALL,Bethel AAOF,,AK,99501
CCI GROUP LIMITED LIABILITY COMPANY,"$898,829.37",BUILDING 3490: REPLACE VENTILATION SYSTEM,ANCHORAGE,ANCHORAGE,AK,995016206
PAVING PRODUCTS INC,"$80,000.00",BUILDING 4024 PAVE NORTH SIDE PARKING LOT,FORT WAINWRIGHT,FAIRBANKS NORTH STAR,AK,997030001
ALUTIIQ INTERNATIONAL SOLUTIONS LLC,"$810,566.00","BUILDING 606, BATTALION OPNS FACILITY, REPAIR INTERIOR FOR 4/25 ABCT",FORT RICHARDSON,ANCHORAGE,AK,995050001
PAVING PRODUCTS INC,"$100,000.00",CONSTRUCT 2ND TRAFFIC LANE,FORT GREELY,SOUTHEAST FAIRBANKS,AK,997311000
CCI GROUP LIMITED LIABILITY COMPANY,"$306,739.07",CONSTRUCT GENERAL INSTRUCTION BLDG AT KNOWN DISTANCE RANGE,ANCHORAGE,ANCHORAGE,AK,995016206
State of Alaska,"$250,000.00",ENERGY �ROOF REPLACEMENT,NG Kenai Armory,,AK,99501
State of Alaska,"$500,000.00",ENERGY REPLACE ROOF,NG Kotzebue Arm OMS,,AK,99501
FRAWNER CORPORATION,"$499,533.32",INSTALL BACK FLOW PREVENTERS,ELMENDORF AFB,ANCHORAGE,AK,995062501
State of Alaska,"$50,000.00",INSTALL ENERGY EFFICIENT LIGHTING,NG Nome Arm OMS,,AK,99501
State of Alaska,"$90,000.00",INSTALL ENERGY EFFICIENT LIGHTING,NG Nome Arm OMS,,AK,99501
State of Alaska,"$150,000.00",INSTALL ENERGY EFFICIENT LIGHTING,NG Nome AAOF,,AK,99501
NORTHERN TAIGA VENTURES INCORPORATED,"$49,822.00",INSTALL EXTERIOR INSULATION FINISHING SYSTEM ON EXTERIOR OF ADMIN BLDG 663,FORT GREELY,SOUTHEAST FAIRBANKS,AK,997311000
CHUGACH INDUSTRIES INCORPORATED,"$93,812.16",INSTALL FIRE PROTECTION IN HAZMAT DECON FAC (B4378),EIELSON AFB,FAIRBANKS NORTH STAR,AK,997021801
CHUGACH INDUSTRIES INCORPORATED,"$27,100.20",INSTALL FIRE SUPPRESSION SYSTEM UNDER PRIME BEEF MEZZANINE,EIELSON AFB,FAIRBANKS NORTH STAR,AK,997021801
DESIGN ALASKA INC,"$53,645.00",INSTALL PARKING LIGHTS BUILDING 1,FORT RICHARDSON,ANCHORAGE,AK,995051110
MWH AMERICAS INC,"$41,500.00","INSTALL SEWAGE, STEAM, AND WATER METERS",EIELSON AFB,FAIRBANKS NORTH STAR,AK,997022225
State of Alaska,"$320,000.00",INSTALL SOLAR HEAT FOR HVAC SYSTEM,NG Bryant Airfield,,AK,99501
State of Alaska,"$200,000.00",INSTALL SOLAR HEAT WALL,NG Nome AAOF,,AK,99501
AMERICAN MECHANICAL INC,"$210,000.00",INSTALL STEAM AND WATER METERS (MULTI),FORT WAINWRIGHT,FAIRBANKS NORTH STAR,AK,997030066
"ASRC CONSTRUCTORS, INC.","$480,000.00",INSTALL TAXIWAY EDGE LIGHTS,ELMENDORF AFB,ANCHORAGE,AK,995062501
